,,,Agua Dulce,BLVD
,,,Alta,TER
,,,Avoyer,PL
,,,Bonnie Vista,DR
,,,Bonnie Vista,PL
3900,4199,b,Calavo,DR
,,,Centinella,DR
10600,10699,b,Challenge,BLVD
,,,Cliffwood,DR
,,,Corte Centinella,
,,,Corte Tierra Alta,
,,,Estrella,DR
,,,Helix Del Sur,
,,,Helix Mont,CIR
,,,Helix Mont,DR
,,,Laskey,LN
,,,Loma Helix,CT
,,,Lomo Del Sur,
,,,Lovett,LN
,,,Lupin,WAY
,,,Lyncarol,DR
,,,Miriam,PL
,,,Morning View,CT
,,,Mozelle,LN
4000,4199,b,Nabal,DR
,,,Point View,CT
,,,Rancho,RD
,,,Resmar,PL
,,,Sherwin,PL
,,,Spur,CT
